code,age,shoe,siblings,expGrade,petLove,extrovert,cookLove,spender,texts,politics,macLove,csLove,statisticsLove,mathLove,feelingsVt,steps,countries,states,live,studyRate,sleepRate,exerciseRate,anticSalary,quantGifted,artist,athlete,major,majorOther,yearSch,analyticCourses,usaProblem,whyClass,excitedClass,dataBoring,knowHd,lackMath,strengths,gains,polarStr2,polarStr0,polarGains2,polarGains0
1985,40.9,13.0,2,A,90,50,35.0,25.0,5.0,Democrat,95.0,85.0,95.0,90.0,100,-99,10,45.0,4.0,12.24117647058823,49.0,7.0,125102287.5,85.0,20.0,80.0,Math/Eng/Stat/CS,Other,Second,10.0,Political Divide,,100,0.0,10.0,0.0,,,0.0,0.0,0.0,0.0
9217,22.3,9.0,1,A,90,70,60.0,100.0,15.0,Democrat,20.0,95.0,85.0,100.0,100,12000,2,16.0,1.0,10.0,56.0,12.0,100000.0,75.0,60.0,95.0,Math/Eng/Stat/CS,Other,Fourth,8.0,Education,You think that this class might help you in the future (e.g. in your future courses or career),90,2.0,10.0,4.0,I am a motivated learner. I enjoy difficult problems as I find pleasure if figuring things out. I have a strong background in data science and signal processing. I am a person who enjoys helping others. And I am passionate about the legal and ethical landscapes of technology.,"I hope to gain a more foundational role in the process of data. I feel as though my coursework has engrained into me strong foundations in the math and coding skills necessary to sustain a career in Data Science. However, I feel that I sometimes don't think nearly as much about the process of collection from a legal and ethical point of view. I hope to strengthen my skills in data analysis through learning more about R and learning more about sourcing, ethics, and legal processes.",0.8660254037844387,0.8660254037844387,0.409764538173066,0.3234983196103152
4346,18.0,7.5,0,B,90,50,95.0,45.0,25.0,Democrat,90.0,10.0,25.0,1.0,95,-99,5,10.0,3.0,5.0,8.0,2.0,125102287.5,10.0,100.0,15.0,Physical/Life Science,Other,First,0.0,Political Divide,You are curious about the content It meets a graduation requirement.,60,1.0,0.0,7.0,"I think my strengths as a student include passion and dedication. I'm someone who likes to do well, and I put a lot of work and effort into succeeding in my goals. I also enjoy learning, and I find that if I'm interested in a subject, I can learn it a lot easier. I struggle with math, but I know I can get through most of it if I focus a lot of energy on it. I push myself out of my comfort zone, which is why I'm in this class; I like to make efforts to learn outside the scope of what I usually do, even if it ends up not working out perfectly.",I hope to gain a broader understanding of data analysis and any understanding at all about computer science. I think that statistics and data analysis are important to my major so I wanted to improve on those skills. I don't really know much anything about computer science though so I hope to learn anything about it. Especially with technology advancing and AI becoming more common I think it would be helpful to get more of an understanding of how they work. I hope that this class helps me better understand statistics and computer science/coding mainly though.,0.8392543274162825,0.8392543274162825,0.6092076990801715,0.6092076990801715
9453,19.0,8.0,0,A-,90,50,70.0,50.0,90.0,Democrat,40.0,55.0,65.0,45.0,90,8000,4,10.0,2.0,14.0,7.0,5.0,90000.0,45.0,60.0,40.0,Math/Eng/Stat/CS,Other,Second,6.0,Education,You think that this class might help you in the future (e.g. in your future courses or career),75,4.0,5.0,2.0,"I would consider one of my greatest strengths as a student to be my curiosity and ability to take initiative to learn independently. When I encounter a topic that interests me, I find that I tend to ask more questions, actively seek out additional resources, and challenge myself to understand concepts more than simply memorizing them. This approach to learning has often helped me developed a deeper understanding of the material I'm learning and retain information more effectively. Even with topics that may not interest as much, my curiosity still motivates me to stay engaged, which allows me to put in the effort needed to fully understand the given material. Overall, this mindset has often helped me remain motivated and committed to continuous improvement within my academics.","I am interested in pursuing a career within data analytics, and although this course might be considered more of an introductory level course, I hope to use it as a foundation to strengthen my skills and understanding of the field. I have some experience with programming and math/statistics skills I've gained from prior classes I've taken, and I hope to build upon them within this course. On the same topic, I have experience working with Python, but less experience with R, so I see this course as a great opportunity to become more familiar with R and expand my technical skill set. The aspect of having real world data to collect, use, and summarize is especially intriguing to me and I am excited for the opportunity to see how this course can simulate practical applications of data analysis. Overall, I hope this class will prepare me for more advanced coursework and future opportunities within the data analytics field.",0.6921380773445688,0.6211495565912797,0.539275078288338,0.4758309514308865
1222,19.0,7.5,2,A,80,50,40.0,30.0,15.0,Democrat,90.0,70.0,80.0,80.0,70,9000,2,10.0,6.0,35.0,6.0,10.0,200000.0,50.0,20.0,30.0,Physical/Life Science,Other,First,1.0,Gun Control,You think that this class might help you in the future (e.g. in your future courses or career),70,6.0,8.0,2.0,"I'm a resilient student familiar with balancing various commitments. In the classroom, I tend to listen very well, and take every perspective into account. I don't shy away from a challenge, perceiving them as a chance to grow. Knowing I worked as hard as I could is enough reassurance for me. I can't wait to get started!","I want to obtain a more thorough understanding of statistics and how it applies to situations in the real world. This translation between teachings and application is crucial. I also appreciate the class's focus on datasets and various stat tools. Learning how to communicate findings in order to supplement possible mitigation strategies or betterment routes is important to me. Above all else, I want to broaden my awareness of data analysis, a field I've yet to completely assimilate into.",0.635775531391221,0.5298129428260175,0.2250175801852048,0.2250175801852048
N402,20.0,12.5,2,A-,85,58,69.0,76.0,100.0,Independent,96.0,52.0,53.0,54.0,82,6000,16,29.0,2.0,12.0,45.0,5.0,100000.0,52.0,45.53164556962025,60.0,Other,Other,Second,1.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),63,2.0,1.0,1.0,"I know I am good at something, but I haven't completely figured it out. I like to code, but I don't have much experience. I can model and design 3D printed objects. I am pretty good at figuring out mathematical solutions and can communicate with group members very easily.",I am bvery excited to learn in this class. As a Data and Decisions minor im very excited to learn about data and how it is analyzed. I know this class is a sort of coding class but im excited to learn new things and be able to use it in future classes or in my professional life.,0.5714285714285714,0.5714285714285714,0.4989644448669457,0.3939192985791676
FH13,21.0,10.0,2,A,71,66,42.0,91.0,10.0,Other,61.0,50.0,50.0,44.0,51,8000,1,5.0,3.0,10.0,55.0,9.0,150000.0,67.0,45.53164556962025,73.0,Other,Other,Third,1.0,Crime/Violence,You think that this class might help you in the future (e.g. in your future courses or career),51,4.0,3.211267605633803,0.0,I am a quick learner. I am willing to put in the work if it interests me.,I hope to learn how to analyze data and use it to in my future. I worked an internship where i had to analyze data to make decisions that impacted the projects and decision making by the company so i am hoping this class will strenghten my ability to analyze and make decisions.,0.7276068751089989,0.7276068751089989,0.137360563948689,0.137360563948689
4641,19.0,10.0,1,B-,50,40,60.0,70.0,25.0,Independent,40.0,20.0,100.0,10.0,82,-99,4,8.0,1.0,10.0,48.0,5.0,75000.0,30.0,3.0,40.0,Math/Eng/Stat/CS,Other,First,2.0,Racial Injustice,You think that this class might help you in the future (e.g. in your future courses or career),50,1.0,0.0,7.0,I am a very consistent student. I show up daily and try my best to always be on top of things and stay prepared. I also have no hesitation asking for help. I am very easy to work with in groups and will not free load/expect other people to do work for me.,I hope to be able to learn how to use R programming language. This is because I am majoring in statistics (Data Science Option) and R is very important when it comes to Data Science. I also hope to gain new insights in data analysis and statistics. I am very passionate about my major and hope to use the skills in this class for my future profession/career. I also hope to use this class as a pre-requisite to a future minor or enhancement to my major.,0.8981462390204985,0.9525793444156804,0.5969620057957091,0.4264014327112208
4406,21.0,9.0,1,A-,91,82,95.0,20.0,30.0,Democrat,12.0,41.0,61.0,21.0,80,10000,14,20.0,3.0,8.0,54.0,12.0,65000.0,30.0,67.0,90.0,Business,Other,Third,1.0,Budget Deficit,You think that this class might help you in the future (e.g. in your future courses or career),71,5.0,1.0,6.0,"My strengths as a student are that I stay on top of my work. I work well with others and can do well in group projects. I will ask questions when I am confused. I will go to office hours when I need help. Lastly, I will not miss a class.","I hope to gain confidence in my coding. I want to get a good grade and become closer to getting my minor. I hope to learn real world applications for statistics. I hope to make a friend/study buddy in this class. Lastly, I would like to gain a foundation for coding.",0.7001400420140048,0.4200840252084029,0.6933752452815365,0.6933752452815365
0310,19.0,11.5,2,A,59,29,53.0,30.0,100.0,Independent,50.0,69.0,84.0,82.0,34,8000,3,7.0,3.0,10.0,40.0,10.0,150000.0,73.0,21.0,84.0,Math/Eng/Stat/CS,Other,First,2.0,Health Care Costs,You think that this class might help you in the future (e.g. in your future courses or career),100,2.0,0.0,2.0,"I think my most valuable strength as a student is that I am devoted, yet efficient. If something requires little attention, I will get it done in a short amount of time. On the other hand, if it is a lengthier assignment that takes much more time, I spend sufficient time on it to make sure it meets requirements and is done to the best of my ability. I have always been stronger and more interested in STEM classes throughout my academic career compared to humanities.","By taking this class, I hope to learn ways to analyze data efficiently and also find meaning behind the data. I hope to take the results and find ways to display them visually as well as numerically so that they can be easily understood. Through coding, I hope to learn different programs and languages that can be used in order to interpret different types of data. I also simply hope to find some friends in this class and have a good time while learning.",0.6254300845799428,0.539163866017192,0.3273268353539886,0.3273268353539886
2327,21.0,9.0,1,A,87,52,44.0,60.0,10.0,Republican,1.0,1.0,49.0,48.0,100,10000,3,18.0,1.0,3.0,49.0,5.0,60000.0,28.0,8.0,61.0,Business,Other,Third,2.0,Political Divide,You are curious about the content It meets a graduation requirement.,58,5.0,3.211267605633803,1.0,"One of my strengths as a student is my ability to stay organized. By staying organized, I stay on top of my school work, and keep my things clean and it helps me do better in my personal life. Additionally, I am a hard worker. For group projects or even just studying, I make sure to try my hardest and best. I also enjoy problem solving (to a degree), and so like certain things that challenge me.","What I hope to gain from this class is a better understanding of data analytics, how to solve problems, etc. Also about data matter, and learning more about what that entails and the different approaches. I am not the greatest a coding, so maybe the class could also help with a basic understanding of that. I have never coded in R so I am interested in how that will be. I also have not much experience with data analytics and data matter so interested to see in the end a better undertsanding of it all.",0.6609713434659,0.5698028822981898,0.1025978352085154,0.3077935056255462
1664,21.2,12.0,1,A,82,80,71.0,30.0,100.0,Independent,30.0,55.0,85.0,81.0,100,12000,3,15.0,2.0,8.0,56.0,12.0,80000.0,74.0,9.0,81.0,Business,Other,Third,3.0,Political Divide,You are curious about the content It meets a graduation requirement.,81,3.0,2.0,1.0,My largest strength is my organization skills. I carefully plan and think about my decisions to ensure I am making the correct ones. Another strength is my ability to problem solve. I typically am well equipped to solve larger more detailed problems that require more thinking. A final strength is my ability to communicate effectively. This allows me to be a better student by seamlessly working in collaborative groups and bringing concerns to my professor.,"The main things I hope to gain from this class are becoming more confident in computer science, having a better understanding of sorting data, and having a stronger passion for data. I am a BIT major and still deciding exactly what field I want to pursue after I graduate. Data analytics has been a field I have been leaning towards, and I hope this class can propel that feeling further. This summer I have a business analyst internship, and I hope this class can help me succeed in that role. Overall, I hope to enjoy this class and strengthen my knowledge in the field of data.",0.02309401076758502,0.1154700538379251,0.757602972638666,0.6799001036500849
